word;exp
وكل;stop
ولا;stop
ولايزال;stop
ولذا;stop
ولكن;stop
ولم;stop
وله;stop
ولو;stop
ولوسوف;stop
وليس;stop
وما;stop
ومع;stop
ومن;stop
ومنها;stop
وه;stop
وهب;stop
وهذا;stop
وهل;stop
وهم;stop
وهو;stop
وهي;stop
وھو;stop
وي;stop
ويجب;stop
ويكون;stop
ى;stop
ي;stop
يا;stop
ياء;stop
يجب;stop
يفعلان;stop
يفعلون;stop
يقول;stop
يكن;stop
يكون;stop
يلي;stop
يمكن;stop
يمين;stop
ين;stop
يناير;stop
ينبغي;stop
يوان;stop
يورو;stop
يوليو;stop
يوم;stop
يونيو;stop
